Ranking,Project Name,Stars,Forks,Language,Open Issues,Description,Last Commit
88,shadowsocks-windows,52515,16046,C#,36,A C# port of shadowsocks,2021-05-10T22:42:16Z
89,markdown-here,52373,9958,JavaScript,292,"Google Chrome, Firefox, and Thunderbird extension that lets you write email in Markdown and render it before sending.",2021-05-21T20:17:37Z
90,project-based-learning,52248,8140,None,111,Curated list of project-based tutorials,2021-07-07T21:48:29Z
91,keras,51864,18744,Python,474,Deep Learning for humans,2021-07-08T02:53:14Z
92,scrcpy,51487,5325,C,794,Display and control your Android device,2021-07-06T21:58:05Z
93,httpie,51326,3327,Python,148,"As easy as /aitch-tee-tee-pie/ 🥧 Modern, user-friendly command-line HTTP client for the API era. JSON support, colors, sessions, downloads, plugins & more. https://twitter.com/httpie",2021-07-06T19:00:06Z
94,Apollo-11,51080,6659,Assembly,107,Original Apollo 11 Guidance Computer (AGC) source code for the command and lunar modules.,2021-04-25T20:55:41Z
95,html5-boilerplate,50859,11649,JavaScript,12,"A professional front-end template for building fast, robust, and adaptable web apps or sites.",2021-07-07T13:22:08Z
96,mall,50735,21739,Java,22,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。,2021-07-07T12:43:00Z
97,gatsby,50731,9699,JavaScript,438,"Build blazing fast, modern apps and websites with React",2021-07-07T20:48:17Z
98,awesome-machine-learning,50614,12550,Python,0,"A curated list of awesome Machine Learning frameworks, libraries and software.",2021-07-06T13:57:06Z
99,lodash,49954,5840,JavaScript,255,"A modern JavaScript utility library delivering modularity, performance, & extras.",2021-07-06T00:29:23Z
100,redis,49852,19560,C,2182,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps.",2021-07-08T02:49:30Z
